positive	LOCATION#GENERAL	neighborhood	54:66	great food, great wine list, great service in a great neighborhood...
negative	RESTAURANT#GENERAL	place	15:20	I thought this place was totally overrated.
positive	FOOD#QUALITY	Fish	0:4	Fish is so very fresh.
negative	SERVICE#GENERAL	manager	19:26	I showed it to the manager, and he smilingly apologized and brought us two free desserts (but did not ask us what we wanted and so brought the last two desserts we would have asked for).
neutral	DRINKS#QUALITY	margaritas	63:73	The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.
negative	AMBIENCE#GENERAL	decor	29:34	This place has totally weird decor, stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional...
negative	RESTAURANT#GENERAL	Haru on Park S	0:14	Haru on Park S is simply disgusting.
positive	SERVICE#GENERAL	staff	4:9	The staff there is very attentive and down to earth.
positive	SERVICE#GENERAL	hostess	4:11	The hostess was very pleasant.
negative	RESTAURANT#MISCELLANEOUS	BFC	3:6	As BFC doesn't take reservations you almost always have to wait by the bar - and be abused by the front of house staff until you are seated, which can be over an hour later!
positive	SERVICE#GENERAL	service	11:18	Good, fast service.
negative	FOOD#STYLE_OPTIONS	salt encrusted shrimp appetizer	37:70	I believe there were 2 shrimp in the "salt encrusted shrimp" appetizer. 
positive	DRINKS#QUALITY	Gigondas	22:30	Great wine selection, Gigondas is worth the price, and the house champagne is a great value.
positive	FOOD#PRICES	sushi	38:43	This is some really good, inexpensive sushi.
positive	FOOD#QUALITY	fried dumplings	4:19	The fried dumplings are GREAT!
positive	DRINKS#STYLE_OPTIONS	wine list	4:13	The wine list is excellent.
positive	FOOD#QUALITY	food	103:107	Everyone raved about the atmosphere (elegant rooms and absolutely incomparable views) and the fabulous food!
positive	RESTAURANT#GENERAL	bar	39:42	After really enjoying ourselves at the bar we sat down at a table and had dinner.
positive	FOOD#QUALITY	food	4:8	The food we ordered was excellent, although I wouldn't say the margaritas were anything to write home about.
positive	FOOD#QUALITY	thai cuisine	45:57	I would definitely recommend SEA if you like thai cuisine!
positive	SERVICE#GENERAL	Service	0:7	Service was very prompt but slightly rushed.
positive	FOOD#QUALITY	seafood	4:11	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.
positive	FOOD#STYLE_OPTIONS	menu	30:34	With the great variety on the menu , I eat here often and never get bored .
positive	DRINKS#STYLE_OPTIONS	wine list	4:13	The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.
positive	FOOD#QUALITY	Pizza	0:5	Pizza here is consistently good.
negative	FOOD#QUALITY	food	63:67	So what you really end up paying for is the restaurant not the food.
negative	RESTAURANT#PRICES	restaurant	20:30	I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.
positive	FOOD#QUALITY	food	4:8	The food was pretty tradional but it was hot and good with large portions.
positive	LOCATION#GENERAL	block	36:41	Located at the end of a magnificent block.
positive	RESTAURANT#GENERAL	Planet Thailand	0:15	Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .
positive	SERVICE#GENERAL	service	43:50	never swaying, never a bad meal, never bad service...
positive	FOOD#QUALITY	gyros	67:72	This small Astoria souvlaki spot makes what many consider the best gyros in New York.
negative	SERVICE#GENERAL	girl	16:20	There's another girl who I can't describe, she is about 5'6" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about. 
positive	AMBIENCE#GENERAL	setting/atmosphere	50:68	Service, however, was excellent...and I liked the setting/atmosphere a lot. 
positive	FOOD#QUALITY	chocolate bread pudding	70:93	You must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert.
positive	FOOD#QUALITY	pasta	4:9	The pasta was well cooked, didn't have enough sauce though or flavor.
positive	FOOD#QUALITY	food	4:8	The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.
positive	FOOD#QUALITY	food	63:67	Although the tables may be closely situated, the candle-light, food-quality and service overcompensate.
positive	FOOD#QUALITY	food	18:22	good music, great food, speedy service affordable prices.
positive	FOOD#QUALITY	food	31:35	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.
positive	FOOD#QUALITY	scallops	23:31	I really like both the scallops and the mahi mahi (on saffron risotto-yum!).
positive	RESTAURANT#GENERAL	restaurant	14:24	This is a fun restaurant to go to.
negative	FOOD#QUALITY	food	4:8	The food arrived 20 minutes after I called, cold and soggy.
positive	FOOD#STYLE_OPTIONS	special roll	4:16	One special roll and one regular roll is enough to fill you up, but save room for dessert!
negative	SERVICE#GENERAL	Delivery guy	0:12	Delivery guy sometimes get upset if you don't tip more than 10%.
positive	FOOD#QUALITY	duck confit	4:15	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
positive	DRINKS#QUALITY	glass of wine	25:38	As always we had a great glass of wine while we waited.
negative	AMBIENCE#GENERAL	place	11:16	Well, this place is so Ghetto its not even funny.
positive	DRINKS#STYLE_OPTIONS	selection of wines	131:149	The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.
positive	AMBIENCE#GENERAL	garden	39:45	Even if the food wasn't this good, the garden is a great place to sit outside and relax.
negative	FOOD#QUALITY	food	4:8	The food was bland oily.
positive	FOOD#QUALITY	dessert	43:50	The lamb was tender so full of flavor, the dessert was divine!!
negative	FOOD#PRICES	lobster sandwich	4:20	The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.
negative	FOOD#PRICES	salad	25:30	The bread was stale, the salad was overpriced and empty.
positive	FOOD#PRICES	food	27:31	However, if you want great food at a great price and don't mind the decor, you can't beat this place.
positive	FOOD#QUALITY	Thai	13:17	I LOVE their Thai
positive	FOOD#PRICES	food	10:14	Excellent food for great prices
positive	AMBIENCE#GENERAL	atmoshpere	34:44	The pizza is yummy and I like the atmoshpere.
negative	FOOD#QUALITY	food	104:108	This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.
positive	FOOD#QUALITY	pastas	4:10	The pastas are incredible, the risottos (particularly the sepia) are fantastic and the braised rabbit is amazing.
positive	FOOD#QUALITY	food	38:42	I have eaten at Saul, many times, the food is always consistently, outrageously good.
positive	SERVICE#GENERAL	waiters	43:50	THE SERVICE IS AMAZING, i've had different waiters and they were all nice, which is a rare thing in NYC.
negative	FOOD#QUALITY	sandwiches	4:14	The sandwiches are dry, tasteless and way overpriced.
positive	FOOD#QUALITY	dim sum	16:23	The rest of the dim sum, though pricey by Chinatown standards, is worth it.
negative	FOOD#QUALITY	turkey burgers	4:18	the turkey burgers are scary!
positive	RESTAURANT#GENERAL	restaurant	18:28	It's a small cute restaurant.
negative	SERVICE#GENERAL	Service	0:7	Service was slow, but the people were friendly.
positive	AMBIENCE#GENERAL	ambient	30:37	Very affordable and excellent ambient!
positive	FOOD#QUALITY	main entree	4:15	The main entree was also very good.
neutral	AMBIENCE#GENERAL	atmosphere	33:43	The service was friendly and the atmosphere was casual.
positive	FOOD#QUALITY	roti	45:49	Delicate spices, onions, eggs and a kick-ass roti.
positive	FOOD#QUALITY	Slamwich	40:48	The hot dogs are top notch, and they're Slamwich is amazing!
negative	FOOD#PRICES	pizza	8:13	But the pizza is way to expensive.
positive	RESTAURANT#GENERAL	Mizu	0:4	Mizu is the Japenese find in Grammercy.
positive	FOOD#QUALITY	hummus	65:71	I'll being with a couple of positives: cool decor, good pita and hummus, and grilled octopus that was actually pretty tasty.
negative	FOOD#QUALITY	rosemary or orange flavoring	63:91	Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.
positive	FOOD#QUALITY	marinara/arrabiatta sauce	19:44	If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.
positive	FOOD#QUALITY	Indian food	13:24	Very "normal Indian food", but done really well.
positive	FOOD#QUALITY	Pad Thai	8:16	Try the Pad Thai, or sample anything on the appetizer menu...they're all delicious.
positive	SERVICE#GENERAL	service	112:119	Volare virgins or weekly regulars, everyone gets treated the same and you can't ask for more than that when the service is this friendly.
positive	SERVICE#GENERAL	waiter	4:10	The waiter was attentive.
negative	FOOD#STYLE_OPTIONS	salad	25:30	The bread was stale, the salad was overpriced and empty.
positive	FOOD#QUALITY	exotic food	4:15	The exotic food is beautifully presented and is a delight in delicious combinations.
positive	SERVICE#GENERAL	service	13:20	Always great service!
positive	FOOD#QUALITY	appetizer	92:101	A different server enhanced the fun, dumping our entrees in front of us halfway through our appetizer (which was delicious).
positive	FOOD#QUALITY	food	4:8	The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.
negative	FOOD#QUALITY	meals	51:56	Over all the looks of the place exceeds the actual meals.
negative	SERVICE#GENERAL	waiter	31:37	We were seated outside and the waiter spilled red wine and hot tea on myself and my date.
positive	AMBIENCE#GENERAL	Downstairs lounge	0:17	Downstairs lounge is always a good attraction
positive	FOOD#QUALITY	cheese	108:114	The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.
positive	FOOD#QUALITY	food	22:26	Price is high but the food is good, so I would come back again.
positive	FOOD#QUALITY	food	40:44	The location and ambience is Ok but the food is what makes up for it.
positive	FOOD#QUALITY	noodles with shrimp and chicken and coconut juice	0:49	noodles with shrimp and chicken and coconut juice is the MUST!
neutral	AMBIENCE#GENERAL	decor	4:9	The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!
negative	FOOD#QUALITY	food	53:57	I would recommend Roxy's for that, but not for their food.
positive	FOOD#QUALITY	mushrooms	17:26	The veal and the mushrooms were cooked perfectly.
positive	FOOD#QUALITY	dessert	82:89	One special roll and one regular roll is enough to fill you up, but save room for dessert!
positive	FOOD#QUALITY	lamb glazed with balsamic vinegar	50:83	Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.
positive	SERVICE#GENERAL	staff	8:13	All the staff is absolutely professional!! 
negative	RESTAURANT#GENERAL	Casa La Femme	23:36	I agree that dining at Casa La Femme is like no other dining experience!
positive	RESTAURANT#GENERAL	Suan	0:4	Suan is a great place that I often take my friends (classmates) too.
negative	FOOD#PRICES	salmon	29:35	I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.
positive	SERVICE#GENERAL	service	31:38	good music, great food, speedy service affordable prices.
negative	FOOD#QUALITY	Japanese food	21:34	The worst excuse for Japanese food I've ever encountered.
negative	SERVICE#GENERAL	servers	4:11	The servers at Flatbush Farm appear to have perfected that ghastly technique of making you feel guilty and ashamed for deigning to attract their attention.
positive	AMBIENCE#GENERAL	in-house lady DJ	4:20	The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.
positive	FOOD#QUALITY	pizza	44:49	Who has room for Cheesesticks with the best pizza in NYC!
negative	FOOD#QUALITY	lobster knuckles	4:20	The lobster knuckles (special of the day) were ok, but pretty tasteless.
positive	RESTAURANT#GENERAL	Rao's	15:20	I have been to Rao's probably 15 times the past 3 years and it keeps getting better.
neutral	RESTAURANT#GENERAL	Amma	0:4	Amma is nothing special.
positive	RESTAURANT#PRICES	place	23:28	The food was good, the place was clean and affordable.
positive	FOOD#QUALITY	basic dishes	40:52	The food is good, especially their more basic dishes, and the drinks are delicious.
negative	SERVICE#GENERAL	Service	0:7	Service was slow had to wait to order and get food although not crowded.
positive	RESTAURANT#GENERAL	joint	19:24	Great neighborhood joint.
positive	DRINKS#STYLE_OPTIONS	bottles of Korbett	69:87	We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough. 
positive	RESTAURANT#GENERAL	Gnocchi	19:26	I'm partial to the Gnocchi.
