positive	AMBIENCE#GENERAL	seating	18:25	short and sweet – seating is great:it's romantic,cozy and private.
positive	AMBIENCE#GENERAL	trattoria	25:34	This quaint and romantic trattoria is at the top of my Manhattan restaurant list.
positive	FOOD#QUALITY	food	98:102	The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.
negative	SERVICE#GENERAL	STAFF	5:10	THIS STAFF SHOULD BE FIRED.
positive	FOOD#STYLE_OPTIONS	menu	4:8	The menu looked great, and the waiter was very nice, but when the food came, it was average.
positive	FOOD#QUALITY	tuna	4:8	The tuna and wasabe potatoes are excellent.
negative	SERVICE#GENERAL	staff	82:87	The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.
negative	SERVICE#GENERAL	service	76:83	sometimes i get bad food and bad service, sometimes i get good good and bad service.
positive	FOOD#STYLE_OPTIONS	BBQ ribs	38:46	This place has the best Chinese style BBQ ribs in the city.
positive	AMBIENCE#GENERAL	place	6:11	Great place to relax and enjoy your dinner
negative	FOOD#QUALITY	appetizer of olives	73:92	The bread we received was horrible - rock hard and cold - and the "free" appetizer of olives was disappointing.
negative	FOOD#QUALITY	foods	67:72	We thought that this place is using too much of MSG cooking in the foods.
positive	DRINKS#QUALITY	drinks	12:18	Always good drinks and service is pretty good;
positive	FOOD#QUALITY	rolls	157:162	We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.
positive	FOOD#QUALITY	Prix Fixe menu	4:18	The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality).
positive	FOOD#QUALITY	scallops	11:19	We had the scallops as an appetizer and they were delicious and the sauce was wonderful.
positive	AMBIENCE#GENERAL	Ambience	0:8	Ambience is so cute and quaint, good for business although we were there on vacation.
positive	AMBIENCE#GENERAL	late night atmosphere	34:55	But the best part about LS is the late night atmosphere, delightfully free of the BTs.
positive	FOOD#QUALITY	pear torte	22:32	The dessert (we had a pear torte) was good - but, once again, the staff was unable to provide appropriate drink suggestions.
positive	FOOD#QUALITY	spicy Italian cheese	70:90	The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.
positive	FOOD#QUALITY	filet	34:39	I had fish and my husband had the filet - both of which exceeded our expectations.
negative	FOOD#QUALITY	quesadilla	3:13	My quesadilla tasted like it had been made by a three-year old with no sense of proportion or flavor.
negative	RESTAURANT#MISCELLANEOUS	place	5:10	This place is incredibly tiny.
positive	FOOD#QUALITY	food	12:16	I found the food to be outstanding, particulary the salmon dish I had.
positive	SERVICE#GENERAL	Service	0:7	Service was prompt and courteous.
positive	FOOD#QUALITY	bagels	10:16	delicious bagels, especially when right out of the oven.
negative	RESTAURANT#GENERAL	restaurant	20:30	I have never left a restaurant feeling as if i was abused, and wasted my hard earned money.
positive	FOOD#QUALITY	french fries	103:115	My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.
positive	FOOD#QUALITY	rice dishes	21:32	I also recommend the rice dishes or the different varieties of congee (rice porridge).
positive	AMBIENCE#GENERAL	ambience	55:63	I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.
